"SLFCHG01","SLFCHG02","SLFCHG03","SLFCHG04","SLFCHG09","CSSRAT01","CSSRAT07","SUCCESS4","SUCCESS7","SATIS13","SATIS01","SATIS02","SATIS07","SATIS15","SATIS25","SATIS28","CSSRAT16","GENACT05","COLACT19","COLACT17","FATHEDUC","MOTHEDUC","RACEGROUP","UndrRepStud_RC","FINCON_RC","FirstGen_RC","INCOME","HSGPA","CITIZEN","PLANLIVE","DSstud_RC","SIFRAT01","SIFRAT07","SIFMAJA","CSSHPW01","CSSHPW02","CSSHPW03","CSSHPW05","CSSHPW08","COLLGPA","Success_Latent"
5,5,5,5,5,4,5,3,3,5,5,5,5,5,5,5,5,3,1,1,6,3,3,1,1,1,11,7,2,3,1,5,5,2,6,8,5,5,4,5,0.637666740782074
5,4,5,4,5,4,4,3,3,4,4,4,4,3,5,4,3,3,1,1,8,3,5,1,2,0,1,7,2,3,2,3,3,2,3,6,4,4,2,4,0.120118371760654
3,4,5,4,4,4,3,2,2,4,4,4,4,3,4,4,3,2,1,1,8,8,2,0,1,0,2,5,1,4,1,3,4,14,4,7,8,5,3,4,-0.297088611476105
5,5,5,5,5,3,4,2,3,5,4,5,5,4,5,5,4,3,1,1,2,2,3,1,1,1,5,5,1,3,1,5,5,15,4,6,8,4,5,4,0.436069280573343
4,4,4,4,4,3,4,2,3,4,4,4,3,3,2,4,3,2,1,1,1,5,5,1,2,1,10,8,2,3,1,3,3,5,5,6,6,6,4,4,-0.297088611476105
4,4,4,4,4,3,3,3,2,2,4,3,4,4,3,5,5,2,1,2,8,1,4,1,2,0,5,5,1,3,1,3,4,13,5,7,3,1,1,5,0.0437666564572614
5,5,4,4,5,3,3,2,3,4,4,4,5,3,5,4,5,3,1,1,8,8,2,0,1,0,3,6,1,3,1,4,4,2,3,4,6,6,2,3,0.241054132372064
5,4,4,4,4,3,3,3,3,3,4,2,3,2,5,4,4,2,1,1,5,3,1,0,1,1,13,5,2,3,1,4,3,3,5,6,8,8,3,3,-0.140488137621743
3,4,4,4,4,4,2,2,3,3,5,4,4,2,5,4,3,3,1,1,8,8,2,0,1,0,12,8,1,3,1,5,3,5,8,5,5,4,8,5,-0.297088611476105
5,4,4,4,3,3,2,3,3,1,1,3,3,1,4,4,4,1,1,2,1,1,4,1,1,1,14,4,2,3,1,5,5,5,5,7,8,8,2,4,-0.391208831407869
4,4,4,4,4,3,4,2,1,3,3,3,3,3,3,4,3,3,1,1,1,6,2,0,2,1,4,5,2,3,1,4,3,3,5,6,4,1,2,4,-0.297088611476105
4,5,5,5,4,4,5,3,3,4,4,4,5,2,2,4,2,2,1,1,8,2,2,0,0,0,14,8,2,3,1,5,5,14,7,7,5,3,3,5,0.145675190540327
4,4,4,4,5,4,5,3,3,4,4,2,4,4,4,4,5,3,1,2,1,6,3,1,1,1,12,7,2,1,1,4,5,3,5,4,5,4,5,4,0.120118371760654
4,4,4,4,5,4,3,2,2,3,4,4,4,4,4,4,3,2,1,2,2,8,2,0,0,0,4,7,1,3,1,4,3,12,5,7,4,3,3,6,-0.041180761757672
4,2,4,2,4,5,5,1,2,5,4,3,4,2,5,4,4,3,1,2,8,6,2,0,2,0,1,8,1,3,1,5,5,15,4,6,8,8,3,3,-0.898606528238283
5,4,5,5,4,4,4,3,3,2,5,5,4,4,4,4,3,3,1,2,6,2,3,1,1,1,4,8,1,1,1,5,5,3,4,6,4,3,1,5,-0.140488137621743
5,5,5,5,5,4,5,3,3,5,3,4,5,5,4,5,4,3,1,1,4,8,2,0,0,0,10,5,1,1,1,5,5,3,4,3,3,3,3,3,0.637666740782074
4,4,4,4,3,4,2,1,1,2,2,2,3,2,3,2,4,3,1,1,5,1,2,0,1,1,1,8,1,3,1,4,5,7,6,8,4,1,2,4,-0.942311991429329
5,4,5,4,4,3,4,2,3,4,3,2,4,4,5,5,4,3,1,2,2,2,3,1,1,1,10,5,2,3,1,1,4,9,5,5,5,5,1,5,-0.116465254366549
4,3,4,4,3,5,5,1,3,2,2,1,4,1,3,2,4,1,1,2,3,8,5,1,0,0,5,8,2,3,1,3,5,16,2,5,8,8,1,5,-1.16946789391451
5,5,5,4,4,3,3,2,3,3,4,4,3,3,4,4,3,2,1,2,3,3,2,0,1,1,7,5,2,3,1,3,2,14,6,6,5,4,3,3,-0.0132023596756852
5,5,5,5,5,5,5,3,3,3,4,5,5,5,5,4,5,1,1,2,5,2,3,1,1,1,7,8,2,3,1,5,5,5,5,4,6,1,5,5,0.41816368219865
5,5,5,5,4,4,5,3,2,4,4,3,4,1,5,4,5,2,1,2,1,1,1,0,1,1,14,8,2,3,1,5,5,3,4,6,8,4,1,4,0.145675190540327
4,4,5,4,4,4,4,3,3,3,3,5,4,3,4,3,3,3,1,2,8,2,2,0,2,0,12,5,1,3,1,3,3,14,7,6,8,4,3,4,-0.301184460322696
5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,4,3,1,2,8,8,1,0,1,0,1,8,1,3,1,5,4,3,5,5,5,3,3,6,0.637666740782074
4,5,5,5,5,4,5,2,2,3,3,2,4,4,3,4,3,2,1,1,1,1,2,0,0,1,1,8,2,3,1,4,5,16,3,7,2,1,2,3,0.241054132372064
5,4,5,4,3,4,3,2,2,3,4,4,4,1,2,3,3,2,1,2,8,8,3,1,0,0,13,5,2,3,1,4,3,3,6,7,7,4,4,2,-0.683823890133
4,5,5,5,5,4,3,3,3,4,4,5,5,5,5,5,4,2,1,2,3,6,1,0,0,1,13,6,2,3,1,2,4,5,5,8,8,6,1,3,0.637666740782074
5,5,5,5,5,5,3,2,3,3,5,5,5,5,5,5,5,3,1,2,2,2,3,1,1,1,7,7,2,4,1,5,5,13,7,6,5,3,3,3,0.436069280573343
5,5,5,5,5,4,4,1,3,3,3,3,4,2,3,4,3,3,1,1,6,6,5,1,0,1,10,5,2,3,1,4,4,10,8,5,6,4,8,4,0.0746431384283489
5,4,5,5,5,3,5,3,3,5,5,5,5,4,3,5,5,3,1,1,1,1,2,0,1,1,4,5,2,3,1,2,5,4,6,7,5,1,2,3,0.310772166726024
4,4,5,5,5,4,4,3,3,4,4,3,4,3,4,4,3,2,1,1,8,6,2,0,1,0,4,6,1,3,1,4,5,14,7,6,5,1,4,5,0.120118371760654
5,3,4,3,4,4,3,2,1,2,5,1,4,2,3,3,4,3,1,1,8,8,2,0,2,0,2,8,1,3,1,4,4,9,7,5,7,4,1,3,-0.72069445431727
5,5,5,5,4,5,4,3,2,2,2,3,4,2,2,3,3,3,1,1,1,6,3,1,0,1,5,4,2,4,1,3,4,3,5,6,2,1,1,5,-0.018132364969469
5,5,5,4,5,4,4,3,3,5,4,4,5,5,5,5,3,2,1,1,2,8,3,1,1,0,13,7,2,4,1,4,5,7,5,7,6,4,3,5,0.637666740782074
5,5,5,5,5,4,5,2,2,5,5,3,5,5,5,3,5,3,2,2,8,6,4,1,0,0,14,8,2,4,1,5,5,3,6,7,3,1,3,2,0.0750328960275498
4,4,4,4,4,3,2,3,3,3,4,4,4,2,5,4,2,2,1,1,3,3,1,0,1,1,4,3,2,3,1,2,1,16,2,5,5,4,4,3,-0.140488137621743
4,5,5,5,2,5,5,3,3,5,5,4,5,5,5,5,2,2,1,1,8,8,2,0,1,0,5,8,1,3,1,5,4,9,7,6,5,4,1,5,-0.140141442548174
4,4,5,3,3,4,4,3,3,4,4,5,4,4,4,4,4,2,1,1,6,4,2,0,1,1,1,5,2,3,1,4,3,12,4,7,5,1,3,4,-0.391208831407869
4,4,4,4,5,3,3,2,3,2,3,3,3,3,3,3,4,2,1,2,6,6,2,0,1,1,5,6,2,3,1,4,2,3,4,4,5,4,4,4,-0.199694667385027
5,5,5,5,3,4,1,1,3,2,3,3,4,2,2,2,5,3,1,2,6,8,2,0,1,0,8,7,1,1,1,4,4,5,4,6,8,5,1,3,-0.644394132160713
5,5,5,5,5,4,5,3,3,4,4,3,5,4,5,4,3,2,1,1,3,6,1,0,0,1,14,5,2,3,1,4,3,13,8,8,8,7,1,5,0.41816368219865
4,4,5,4,5,4,5,3,3,5,4,3,4,4,5,5,4,2,2,1,2,2,3,1,2,1,5,5,2,3,1,2,5,7,4,6,6,4,3,5,0.310772166726024
4,4,5,4,4,4,5,3,3,4,3,3,4,4,4,4,3,2,1,2,6,3,2,0,0,1,14,8,2,3,1,3,4,10,8,8,8,1,4,5,-0.140488137621743
4,4,4,4,4,3,3,2,2,3,4,4,4,4,4,4,3,2,1,1,8,8,2,0,0,0,8,8,1,3,1,5,4,2,8,8,5,1,5,4,-0.297088611476105
4,4,4,4,4,3,5,2,3,3,4,3,4,3,1,3,4,2,1,1,2,2,2,0,1,1,4,7,2,2,1,4,5,14,8,5,5,2,3,3,-0.452292440038533
5,5,5,5,3,4,4,2,3,5,5,3,5,3,5,5,3,2,1,1,1,1,3,1,1,1,5,7,1,4,1,3,4,8,7,6,6,5,2,4,-0.0883517171562233
5,5,4,4,4,3,5,3,3,4,2,3,3,4,4,3,4,3,1,1,8,8,3,1,0,0,9,6,1,1,1,5,4,16,5,6,3,1,1,5,-0.018132364969469
5,4,5,4,4,4,4,3,3,5,5,4,5,5,5,5,4,1,1,1,8,8,2,0,1,0,12,8,2,3,1,3,3,2,4,4,3,4,4,4,0.0437666564572614
4,4,4,4,4,3,3,3,3,2,4,3,3,3,4,4,3,2,1,1,6,6,2,0,2,1,3,7,1,3,1,3,2,5,4,4,6,4,2,5,-0.140488137621743
5,5,4,5,4,5,5,3,2,3,4,5,5,3,5,4,4,2,1,1,8,8,4,1,0,0,5,8,1,3,1,5,5,2,8,7,4,1,3,5,0.145675190540327
4,2,4,2,5,3,4,2,3,2,4,5,2,4,2,2,4,2,1,2,3,3,3,1,2,1,4,8,2,3,1,4,4,3,5,5,6,5,5,4,-0.752596840600098
4,4,4,4,3,3,4,2,3,2,2,2,2,2,2,2,4,3,1,1,8,8,5,1,1,0,8,3,2,3,1,2,4,7,6,6,5,3,4,4,-0.794731080507926
4,4,5,4,4,3,4,2,2,4,4,3,3,3,1,4,2,3,1,1,6,3,1,0,2,1,5,5,2,3,1,2,5,4,4,6,3,2,3,3,-0.297088611476105
5,5,5,5,4,3,4,2,3,4,5,4,5,4,5,5,4,3,1,1,8,6,3,1,1,0,10,6,2,3,1,5,3,10,5,7,4,2,1,4,0.165419658719498
5,5,5,5,5,3,3,2,3,3,4,3,4,5,4,3,4,2,1,2,6,2,3,1,1,1,3,4,2,3,1,3,4,8,4,6,5,5,3,4,0.0750328960275498
5,5,5,5,4,4,4,2,2,3,4,4,3,4,3,3,4,2,1,1,8,8,2,0,1,0,12,7,1,3,1,4,2,8,6,7,3,1,2,4,-0.168343681945206
5,5,5,4,4,4,4,3,3,4,4,4,5,4,4,4,4,2,1,1,8,8,2,0,0,0,12,4,1,1,1,3,4,14,4,6,4,2,2,4,0.145675190540327
4,4,5,5,4,5,3,3,2,4,4,4,4,2,4,4,3,1,1,2,8,3,1,0,1,0,8,7,2,3,1,5,3,15,4,6,5,4,2,5,-0.140488137621743
4,4,5,4,4,4,4,3,2,3,3,2,4,4,4,4,3,2,1,1,8,6,2,0,1,0,8,7,2,3,1,5,4,9,5,7,3,1,1,5,-0.140488137621743
4,4,4,4,4,3,4,2,2,2,3,3,4,4,4,4,4,2,1,2,1,1,3,1,1,1,3,7,2,3,1,3,5,6,6,5,4,4,2,4,-0.297088611476105
5,5,5,5,5,5,5,3,3,5,4,1,5,4,4,5,4,2,1,2,1,1,3,1,1,1,8,8,2,3,1,5,5,8,8,7,5,3,3,5,0.637666740782074
4,4,4,4,4,3,3,2,3,3,3,3,3,3,3,3,3,2,1,1,3,8,3,1,1,0,5,5,1,3,1,3,4,13,3,4,3,1,1,4,-0.452292440038533
4,5,5,5,5,3,5,2,3,4,5,3,3,4,5,5,4,2,1,1,2,1,3,1,1,1,4,8,2,3,1,3,4,3,4,5,6,3,1,3,0.436069280573343
4,3,4,3,5,5,5,3,3,5,3,2,3,2,5,4,2,3,1,2,2,2,3,1,1,1,5,7,2,3,1,4,4,13,6,5,6,1,6,5,-0.201110937816515
5,4,5,4,4,3,3,3,2,3,4,5,4,4,5,4,2,2,1,1,6,6,1,0,1,1,9,3,2,3,1,2,3,5,4,5,3,1,1,3,-0.140488137621743
4,4,5,4,4,5,2,2,3,5,4,4,4,4,4,5,2,2,1,1,3,8,1,0,1,0,11,8,2,3,1,5,3,5,6,6,5,2,1,3,-0.116465254366549
4,4,5,4,2,3,3,2,3,2,2,4,3,3,1,4,1,3,1,1,6,2,5,1,2,1,7,8,2,1,1,4,3,4,4,7,8,1,4,5,-0.728619040292891
3,3,5,3,4,5,4,3,3,4,2,3,4,3,4,4,4,2,1,2,8,8,3,1,1,0,13,5,2,1,1,3,3,6,5,7,4,3,4,5,-0.442314392425743
5,5,5,5,5,4,5,3,3,4,4,4,4,4,5,4,5,3,1,1,1,3,3,1,0,1,2,6,1,2,1,3,5,16,4,6,3,1,1,6,0.41816368219865
5,4,5,5,4,5,4,3,2,5,5,1,5,4,5,5,3,2,1,1,2,6,5,1,1,1,8,7,2,1,1,4,5,13,5,6,3,1,1,4,0.0437666564572614
5,5,4,5,4,3,5,3,2,3,3,2,4,5,3,4,5,3,1,1,2,6,4,1,1,1,2,6,2,3,1,5,5,13,4,4,4,4,1,4,0.145675190540327
4,4,4,4,5,4,3,2,3,4,4,4,4,4,4,4,3,2,1,2,6,3,2,0,2,1,10,8,2,3,1,3,3,3,6,7,6,2,3,5,-0.041180761757672
5,4,5,4,4,5,4,2,3,3,2,4,4,2,3,3,4,2,1,2,6,8,1,0,0,0,8,7,2,3,1,4,1,7,4,6,8,3,3,3,-0.452292440038533
5,4,4,4,3,4,4,2,3,3,4,3,5,3,5,4,5,3,2,1,5,6,5,1,2,1,7,6,2,3,1,5,4,12,5,5,5,5,4,4,-0.538935226006102
5,4,5,5,5,4,5,2,3,3,4,4,4,4,3,4,5,3,1,1,6,2,3,1,1,1,7,8,2,3,1,5,5,10,5,6,5,4,5,3,-0.041180761757672
5,4,5,4,4,3,3,2,2,5,2,2,5,2,4,5,3,3,1,2,3,3,4,1,1,1,3,7,1,3,1,5,5,3,4,5,8,5,7,5,-0.116465254366549
5,5,5,5,3,3,4,2,3,3,4,4,2,2,3,4,5,3,1,1,5,5,5,1,0,1,11,7,2,3,1,3,4,2,6,6,8,6,4,2,-0.255355007575103
5,4,5,4,4,3,3,3,2,3,3,3,4,2,3,5,3,2,1,1,4,2,1,0,1,1,13,6,2,3,1,4,4,7,4,5,6,4,1,4,0.0437666564572614
5,4,5,4,4,4,4,3,3,3,3,4,2,2,2,5,4,3,1,2,6,5,2,0,1,1,3,7,1,1,1,3,3,13,1,1,8,8,7,6,0.0437666564572614
5,4,5,4,3,5,5,3,3,2,3,2,4,2,2,4,4,3,1,1,6,5,5,1,1,1,11,8,2,3,1,5,5,8,8,7,5,1,7,6,-0.391208831407869
5,4,5,5,4,4,5,3,3,2,5,3,5,2,5,2,4,3,1,1,2,3,1,0,1,1,13,8,2,3,1,3,4,8,4,5,8,7,4,6,-0.417019673044807
5,5,5,5,4,4,4,3,3,5,4,3,4,5,4,4,4,2,1,2,8,5,2,0,0,0,14,6,1,3,1,5,4,4,7,6,6,4,3,4,0.145675190540327
5,5,5,5,4,3,4,1,3,2,4,4,4,4,4,5,4,3,1,2,3,3,5,1,2,1,5,8,2,3,1,4,4,13,7,7,8,4,4,2,0.00189155659697258
4,4,4,4,4,5,5,3,3,4,3,4,3,3,4,4,5,1,1,2,2,3,1,0,1,1,11,8,1,3,1,5,5,3,6,5,8,6,3,5,-0.140488137621743
4,4,5,4,4,4,4,3,3,2,3,3,4,4,3,4,4,2,1,1,8,2,4,1,1,0,7,7,2,3,1,3,4,3,5,7,5,2,3,5,-0.140488137621743
5,5,5,5,4,4,4,3,3,4,4,4,4,4,4,4,3,2,1,1,8,5,2,0,0,0,12,7,2,2,1,4,4,7,7,7,6,4,3,5,0.145675190540327
4,4,5,4,4,4,4,2,3,4,4,3,4,4,2,4,2,3,1,2,8,5,2,0,2,0,11,7,2,3,1,4,4,3,6,6,5,1,2,5,-0.297088611476105
4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,4,2,1,1,8,6,3,1,2,0,11,6,1,3,1,4,4,5,5,5,8,4,1,5,-0.566837097427444
5,5,5,5,4,3,5,3,3,5,5,5,4,3,3,5,4,3,1,1,8,3,3,1,1,0,1,6,1,3,1,4,5,2,8,8,6,5,4,4,0.334847517274045
5,5,5,5,2,4,5,2,1,3,3,3,3,3,4,2,1,2,1,1,5,5,2,0,1,1,14,6,2,3,1,4,4,13,3,5,5,5,3,5,-0.678615122510704
4,4,4,3,2,3,3,3,2,4,3,4,3,5,3,4,4,3,1,1,2,1,2,0,1,1,3,8,2,3,1,5,2,5,5,8,4,3,2,4,-0.587054233787105
4,4,5,4,4,3,4,2,2,2,4,3,5,4,4,4,4,2,1,2,5,8,5,1,2,0,10,4,2,3,1,4,3,14,4,6,8,5,8,3,-0.297088611476105
5,5,5,5,5,3,4,2,3,5,5,4,5,5,5,5,5,2,1,1,8,8,2,0,1,0,5,5,1,3,1,3,4,2,5,5,5,4,3,4,0.436069280573343
5,5,5,5,5,4,5,3,3,3,3,3,4,4,4,3,4,3,1,2,1,1,2,0,1,1,2,7,1,1,1,3,5,13,6,3,3,2,4,4,0.237024930228086
4,4,4,4,5,3,3,3,3,4,4,3,4,3,4,4,4,3,1,1,2,5,2,0,2,1,7,5,2,3,1,3,3,4,5,7,5,1,3,3,0.120118371760654
5,5,5,4,4,4,4,2,3,2,4,4,5,4,4,4,5,1,2,2,2,2,3,1,2,1,5,1,2,1,1,2,3,9,5,1,3,1,1,5,-0.0132023596756852
4,4,5,4,4,3,4,2,3,4,4,2,4,3,4,5,4,3,1,1,3,1,3,1,2,1,2,7,2,3,1,4,5,3,7,5,7,4,3,4,-0.116465254366549
3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,1,1,1,1,3,1,2,1,5,7,2,3,1,3,4,5,4,4,4,4,4,4,-0.928429599371156
5,5,5,5,5,3,5,3,3,4,4,2,4,5,5,4,5,2,1,2,5,4,5,1,0,1,14,5,2,3,1,3,4,3,5,5,5,1,1,4,0.41816368219865
5,4,5,5,5,4,4,3,3,5,4,5,5,5,4,5,3,3,1,1,8,8,2,0,0,0,2,6,1,3,1,4,4,3,5,5,5,3,3,4,0.310772166726024
5,5,5,5,5,3,4,2,2,3,4,4,4,3,4,4,4,3,1,1,6,3,2,0,1,1,5,3,1,3,1,3,4,16,4,3,5,3,3,2,0.241054132372064
4,5,5,5,4,3,3,2,3,4,4,1,5,5,5,4,3,2,1,1,8,6,2,0,2,0,5,7,1,3,1,4,5,8,6,6,4,1,1,4,-0.0132023596756852
5,4,4,4,4,4,4,3,3,5,4,4,4,4,5,5,3,3,1,2,8,3,3,1,0,0,7,8,1,6,1,5,5,3,6,7,6,1,4,5,0.0437666564572614
5,5,5,5,5,3,3,3,3,4,3,2,2,4,3,2,4,1,1,1,6,3,1,0,1,1,2,7,2,3,1,4,5,13,5,4,4,4,4,6,0.120138497018443
5,4,5,5,5,4,3,3,3,4,4,3,4,5,5,5,4,2,1,1,6,6,2,0,0,1,13,7,2,3,1,3,4,16,4,6,7,4,4,5,0.310772166726024
5,5,5,5,5,4,5,2,3,5,5,5,4,5,4,5,5,3,1,2,1,1,2,0,1,1,4,7,2,3,1,4,4,8,7,6,7,2,5,3,0.436069280573343
5,4,5,5,5,4,5,3,3,4,4,4,4,4,4,4,4,2,1,1,8,3,4,1,1,0,7,6,1,1,1,4,5,13,5,6,4,3,3,4,0.120118371760654
4,4,4,4,4,4,4,2,2,2,3,3,3,3,3,2,4,3,1,1,3,3,3,1,1,1,7,8,2,3,1,3,4,4,8,4,4,3,1,4,-0.566837097427444
5,4,4,5,4,4,4,2,3,4,3,3,4,4,4,4,4,3,1,2,6,6,2,0,1,1,12,6,1,3,1,4,4,3,4,4,4,3,4,3,-0.297088611476105
4,4,4,4,5,4,4,3,3,4,4,4,4,4,4,4,4,3,1,2,8,8,2,0,1,0,4,5,1,3,1,3,4,3,6,8,5,2,2,5,0.120118371760654
4,4,4,4,5,3,4,2,3,3,4,3,3,3,4,4,4,3,1,1,2,5,3,1,1,1,2,6,2,3,1,3,3,13,6,6,7,4,4,4,-0.041180761757672
3,4,4,3,4,4,4,2,3,4,4,4,3,4,4,4,5,2,1,2,8,8,2,0,0,0,12,8,2,3,1,4,3,3,5,5,6,6,6,5,-0.297088611476105
5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,3,1,1,1,1,3,1,1,1,10,4,2,1,1,4,4,13,8,7,6,5,1,4,0.637666740782074
4,4,4,4,4,3,3,3,3,5,3,3,4,3,5,4,4,2,1,1,8,8,2,0,1,0,1,8,1,3,1,4,5,16,6,6,5,4,4,4,-0.140488137621743
4,4,4,4,4,4,4,3,2,4,4,4,4,4,4,4,3,2,1,2,8,8,2,0,2,0,5,8,1,1,1,5,3,2,4,7,4,2,3,6,-0.140488137621743
4,4,4,4,3,3,4,2,3,4,4,4,3,3,4,3,4,2,1,1,3,1,2,0,1,1,5,8,2,1,1,4,3,14,5,4,4,1,1,3,-0.683823890133
4,4,5,4,3,3,4,3,3,2,1,4,4,3,2,2,4,3,1,1,3,3,4,1,1,1,9,3,2,3,1,3,5,7,8,8,5,1,3,4,-0.652245732312108
5,4,5,5,5,4,3,2,3,5,4,3,4,5,5,5,4,2,1,2,1,8,3,1,1,0,11,8,2,3,1,4,3,9,6,7,6,5,4,5,0.14050272419661
5,5,5,5,5,3,5,2,3,4,4,1,4,5,5,4,4,3,1,1,6,7,3,1,0,1,14,5,2,3,1,3,3,7,5,5,8,7,1,4,0.241054132372064
5,5,5,5,5,4,4,3,3,4,4,2,5,4,4,5,3,1,1,2,8,8,2,0,1,0,1,8,1,3,1,5,4,14,6,6,5,3,4,6,0.637666740782074
4,4,4,4,4,4,4,2,2,4,4,3,4,4,4,4,4,3,1,2,1,1,2,0,0,1,8,6,1,3,1,3,4,3,5,6,7,6,3,4,-0.297088611476105
4,4,4,4,3,5,2,2,2,2,2,3,2,2,2,2,4,1,1,2,8,3,2,0,0,0,12,8,2,3,1,5,5,7,5,5,7,2,3,3,-0.794731080507926
3,5,5,5,4,5,4,3,3,5,1,4,5,5,5,4,4,3,1,1,8,6,2,0,1,0,7,7,1,3,1,4,4,5,7,6,5,3,5,6,0.145675190540327
4,4,4,4,4,2,3,2,3,3,3,3,4,3,3,4,3,2,1,1,2,5,3,1,1,1,8,7,2,3,1,2,3,3,5,6,7,1,1,4,-0.297088611476105
4,4,5,4,5,4,4,3,2,3,4,4,5,4,4,4,4,2,1,1,8,6,2,0,0,0,14,8,2,3,1,4,5,8,5,5,5,2,4,5,0.120118371760654
4,4,4,4,4,4,3,1,2,2,4,4,4,3,3,3,1,3,1,2,8,8,3,1,0,0,11,5,2,3,1,4,2,6,4,5,5,3,1,3,-0.608822547566116
4,4,5,5,5,4,5,3,3,5,4,3,4,3,5,4,5,2,1,2,2,2,3,1,0,1,11,5,2,3,1,4,4,6,5,6,7,7,3,5,0.120118371760654
4,4,4,4,4,3,5,2,3,5,4,4,4,4,4,4,3,2,1,1,6,6,3,1,1,1,2,3,2,3,1,3,4,9,6,7,5,2,1,3,-0.297088611476105
4,4,4,4,3,3,2,2,2,2,2,3,3,3,3,3,2,2,1,2,3,8,4,1,2,0,7,5,2,3,1,3,3,4,4,5,7,5,2,3,-0.683823890133
5,5,5,5,5,5,5,3,3,4,4,4,4,4,4,4,4,2,1,1,2,3,2,0,1,1,5,8,1,3,1,5,5,5,5,6,4,4,4,6,0.41816368219865
5,5,5,5,4,5,5,3,3,4,4,5,4,5,3,4,4,2,1,1,6,6,2,0,1,1,12,7,1,1,1,3,4,7,4,6,5,5,5,5,0.145675190540327
4,5,4,4,4,4,5,2,3,2,5,4,4,4,5,5,2,2,1,1,3,3,5,1,2,1,10,7,2,3,1,3,5,12,6,6,5,1,1,5,0.165419658719498
5,5,5,5,5,4,5,3,3,4,4,4,4,5,5,5,5,3,1,2,7,6,4,1,1,1,2,6,1,6,1,4,5,5,5,6,4,4,3,4,0.637666740782074
4,5,5,5,4,4,4,3,2,4,5,5,5,4,4,4,3,3,1,2,2,5,4,1,1,1,1,6,1,3,1,3,4,11,8,6,6,4,4,5,0.145675190540327
5,5,5,5,4,3,3,2,1,1,4,4,4,4,4,5,3,2,1,1,6,6,2,0,1,1,12,5,1,3,1,3,3,3,7,6,4,2,1,4,0.165419658719498
5,4,4,4,4,5,3,3,3,2,4,4,4,3,4,4,3,3,1,1,8,8,5,1,1,0,10,3,2,3,1,5,2,9,3,4,8,5,3,5,-0.140488137621743
5,5,5,5,5,5,5,3,3,5,5,5,4,4,5,5,5,3,1,2,8,6,4,1,1,0,1,8,1,3,1,5,5,2,8,8,8,2,6,5,0.637666740782074
5,5,5,5,5,3,4,3,3,5,5,5,5,4,4,5,4,3,1,2,5,3,3,1,0,1,10,4,2,3,1,3,4,3,6,7,5,5,1,3,0.637666740782074
4,4,4,3,4,4,5,3,3,4,4,4,4,4,4,4,3,2,1,2,6,3,2,0,2,1,4,8,2,1,1,5,5,3,5,5,4,2,3,5,-0.140488137621743
