"SLFCHG01","SLFCHG02","SLFCHG03","SLFCHG04","SLFCHG09","CSSRAT01","CSSRAT07","SUCCESS4","SUCCESS7","SATIS13","SATIS01","SATIS02","SATIS07","SATIS15","SATIS25","SATIS28","CSSRAT16","GENACT05","COLACT19","COLACT17","FATHEDUC","MOTHEDUC","RACEGROUP","UndrRepStud_RC","FINCON_RC","FirstGen_RC","INCOME","HSGPA","CITIZEN","PLANLIVE","DSstud_RC","SIFRAT01","SIFRAT07","SIFMAJA","CSSHPW01","CSSHPW02","CSSHPW03","CSSHPW05","CSSHPW08","COLLGPA","Success_Latent","HistDisadv_fs"
3,3,5,3,4,5,4,3,3,4,2,3,4,3,4,4,4,2,1,2,8,8,3,1,1,0,13,5,2,1,1,3,3,6,5,7,4,3,4,5,-0.442314392425743,-0.449199229444405
5,5,5,5,5,4,5,3,3,4,4,4,4,4,5,4,5,3,1,1,1,3,3,1,0,1,2,6,1,2,1,3,5,16,4,6,3,1,1,6,0.41816368219865,0.811495916001901
5,4,5,5,4,5,4,3,2,5,5,1,5,4,5,5,3,2,1,1,2,6,5,1,1,1,8,7,2,1,1,4,5,13,5,6,3,1,1,4,0.0437666564572614,0.273687862489331
5,5,4,5,4,3,5,3,2,3,3,2,4,5,3,4,5,3,1,1,2,6,4,1,1,1,2,6,2,3,1,5,5,13,4,4,4,4,1,4,0.145675190540327,0.817639045847212
4,4,4,4,5,4,3,2,3,4,4,4,4,4,4,4,3,2,1,2,6,3,2,0,2,1,10,8,2,3,1,3,3,3,6,7,6,2,3,5,-0.041180761757672,0.0816160839865638
5,4,5,4,4,5,4,2,3,3,2,4,4,2,3,3,4,2,1,2,6,8,1,0,0,0,8,7,2,3,1,4,1,7,4,6,8,3,3,3,-0.452292440038533,0.0365191211467845
5,4,4,4,3,4,4,2,3,3,4,3,5,3,5,4,5,3,2,1,5,6,5,1,2,1,7,6,2,3,1,5,4,12,5,5,5,5,4,4,-0.538935226006102,0.455952139878895
5,4,5,5,5,4,5,2,3,3,4,4,4,4,3,4,5,3,1,1,6,2,3,1,1,1,7,8,2,3,1,5,5,10,5,6,5,4,5,3,-0.041180761757672,0.375018863561732
5,4,5,4,4,3,3,2,2,5,2,2,5,2,4,5,3,3,1,2,3,3,4,1,1,1,3,7,1,3,1,5,5,3,4,5,8,5,7,5,-0.116465254366549,0.790797136935368
5,5,5,5,3,3,4,2,3,3,4,4,2,2,3,4,5,3,1,1,5,5,5,1,0,1,11,7,2,3,1,3,4,2,6,6,8,6,4,2,-0.255355007575103,-0.142574883985761
5,4,5,4,4,3,3,3,2,3,3,3,4,2,3,5,3,2,1,1,4,2,1,0,1,1,13,6,2,3,1,4,4,7,4,5,6,4,1,4,0.0437666564572614,-0.443241260909589
5,4,5,4,4,4,4,3,3,3,3,4,2,2,2,5,4,3,1,2,6,5,2,0,1,1,3,7,1,1,1,3,3,13,1,1,8,8,7,6,0.0437666564572614,0.723537328125306
5,4,5,4,3,5,5,3,3,2,3,2,4,2,2,4,4,3,1,1,6,5,5,1,1,1,11,8,2,3,1,5,5,8,8,7,5,1,7,6,-0.391208831407869,-0.0608042369693879
5,4,5,5,4,4,5,3,3,2,5,3,5,2,5,2,4,3,1,1,2,3,1,0,1,1,13,8,2,3,1,3,4,8,4,5,8,7,4,6,-0.417019673044807,-0.443241260909589
5,5,5,5,4,4,4,3,3,5,4,3,4,5,4,4,4,2,1,2,8,5,2,0,0,0,14,6,1,3,1,5,4,4,7,6,6,4,3,4,0.145675190540327,-0.685279984173218
5,5,5,5,4,3,4,1,3,2,4,4,4,4,4,5,4,3,1,2,3,3,5,1,2,1,5,8,2,3,1,4,4,13,7,7,8,4,4,2,0.00189155659697258,0.62130547351084
4,4,4,4,4,5,5,3,3,4,3,4,3,3,4,4,5,1,1,2,2,3,1,0,1,1,11,8,1,3,1,5,5,3,6,5,8,6,3,5,-0.140488137621743,-0.0365369968364204
4,4,5,4,4,4,4,3,3,2,3,3,4,4,3,4,4,2,1,1,8,2,4,1,1,0,7,7,2,3,1,3,4,3,5,7,5,2,3,5,-0.140488137621743,0.28375086160652
5,5,5,5,4,4,4,3,3,4,4,4,4,4,4,4,3,2,1,1,8,5,2,0,0,0,12,7,2,2,1,4,4,7,7,7,6,4,3,5,0.145675190540327,-0.463892244133779
4,4,5,4,4,4,4,2,3,4,4,3,4,4,2,4,2,3,1,2,8,5,2,0,2,0,11,7,2,3,1,4,4,3,6,6,5,1,2,5,-0.297088611476105,-0.136700016807631
4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,4,2,1,1,8,6,3,1,2,0,11,6,1,3,1,4,4,5,5,5,8,4,1,5,-0.566837097427444,0.0296595986182959
5,5,5,5,4,3,5,3,3,5,5,5,4,3,3,5,4,3,1,1,8,3,3,1,1,0,1,6,1,3,1,4,5,2,8,8,6,5,4,4,0.334847517274045,0.945593691726599
5,5,5,5,2,4,5,2,1,3,3,3,3,3,4,2,1,2,1,1,5,5,2,0,1,1,14,6,2,3,1,4,4,13,3,5,5,5,3,5,-0.678615122510704,-0.61967410681606
4,4,4,3,2,3,3,3,2,4,3,4,3,5,3,4,4,3,1,1,2,1,2,0,1,1,3,8,2,3,1,5,2,5,5,8,4,3,2,4,-0.587054233787105,0.644735695062384
4,4,5,4,4,3,4,2,2,2,4,3,5,4,4,4,4,2,1,2,5,8,5,1,2,0,10,4,2,3,1,4,3,14,4,6,8,5,8,3,-0.297088611476105,0.0651317579341854
5,5,5,5,5,3,4,2,3,5,5,4,5,5,5,5,5,2,1,1,8,8,2,0,1,0,5,5,1,3,1,3,4,2,5,5,5,4,3,4,0.436069280573343,0.461133591137649
5,5,5,5,5,4,5,3,3,3,3,3,4,4,4,3,4,3,1,2,1,1,2,0,1,1,2,7,1,1,1,3,5,13,6,3,3,2,4,4,0.237024930228086,0.826367581606665
4,4,4,4,5,3,3,3,3,4,4,3,4,3,4,4,4,3,1,1,2,5,2,0,2,1,7,5,2,3,1,3,3,4,5,7,5,1,3,3,0.120118371760654,0.387133981232375
5,5,5,4,4,4,4,2,3,2,4,4,5,4,4,4,5,1,2,2,2,2,3,1,2,1,5,1,2,1,1,2,3,9,5,1,3,1,1,5,-0.0132023596756852,0.62130547351084
4,4,5,4,4,3,4,2,3,4,4,2,4,3,4,5,4,3,1,1,3,1,3,1,2,1,2,7,2,3,1,4,5,3,7,5,7,4,3,4,-0.116465254366549,0.899966430778293
3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,1,1,1,1,3,1,2,1,5,7,2,3,1,3,4,5,4,4,4,4,4,4,-0.928429599371156,0.62130547351084
5,5,5,5,5,3,5,3,3,4,4,2,4,5,5,4,5,2,1,2,5,4,5,1,0,1,14,5,2,3,1,3,4,3,5,5,5,1,1,4,0.41816368219865,-0.624066347572589
5,4,5,5,5,4,4,3,3,5,4,5,5,5,4,5,3,3,1,1,8,8,2,0,0,0,2,6,1,3,1,4,4,3,5,5,5,3,3,4,0.310772166726024,0.645451769353241
5,5,5,5,5,3,4,2,2,3,4,4,4,3,4,4,4,3,1,1,6,3,2,0,1,1,5,3,1,3,1,3,4,16,4,3,5,3,3,2,0.241054132372064,0.554350420722706
4,5,5,5,4,3,3,2,3,4,4,1,5,5,5,4,3,2,1,1,8,6,2,0,2,0,5,7,1,3,1,4,5,8,6,6,4,1,1,4,-0.0132023596756852,0.538032207612498
5,4,4,4,4,4,4,3,3,5,4,4,4,4,5,5,3,3,1,2,8,3,3,1,0,0,7,8,1,6,1,5,5,3,6,7,6,1,4,5,0.0437666564572614,0.29023148024046
5,5,5,5,5,3,3,3,3,4,3,2,2,4,3,2,4,1,1,1,6,3,1,0,1,1,2,7,2,3,1,4,5,13,5,4,4,4,4,6,0.120138497018443,0.748896917909429
5,4,5,5,5,4,3,3,3,4,4,3,4,5,5,5,4,2,1,1,6,6,2,0,0,1,13,7,2,3,1,3,4,16,4,6,7,4,4,5,0.310772166726024,-0.527806893650448
5,5,5,5,5,4,5,2,3,5,5,5,4,5,4,5,5,3,1,2,1,1,2,0,1,1,4,7,2,3,1,4,4,8,7,6,7,2,5,3,0.436069280573343,0.557034603363158
5,4,5,5,5,4,5,3,3,4,4,4,4,4,4,4,4,2,1,1,8,3,4,1,1,0,7,6,1,1,1,4,5,13,5,6,4,3,3,4,0.120118371760654,0.367751008658204
4,4,4,4,4,4,4,2,2,2,3,3,3,3,3,2,4,3,1,1,3,3,3,1,1,1,7,8,2,3,1,3,4,4,8,4,4,3,1,4,-0.566837097427444,0.375018863561732
5,4,4,5,4,4,4,2,3,4,3,3,4,4,4,4,4,3,1,2,6,6,2,0,1,1,12,6,1,3,1,4,4,3,4,4,4,3,4,3,-0.297088611476105,-0.185227666017819
4,4,4,4,5,4,4,3,3,4,4,4,4,4,4,4,4,3,1,2,8,8,2,0,1,0,4,5,1,3,1,3,4,3,6,8,5,2,2,5,0.120118371760654,0.54169234222313
4,4,4,4,5,3,4,2,3,3,4,3,3,3,4,4,4,3,1,1,2,5,3,1,1,1,2,6,2,3,1,3,3,13,6,6,7,4,4,4,-0.041180761757672,0.817639045847212
3,4,4,3,4,4,4,2,3,4,4,4,3,4,4,4,5,2,1,2,8,8,2,0,0,0,12,8,2,3,1,4,3,3,5,5,6,6,6,5,-0.297088611476105,-0.463892244133779
5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,3,1,1,1,1,3,1,1,1,10,4,2,1,1,4,4,13,8,7,6,5,1,4,0.637666740782074,0.0704993261119914
4,4,4,4,4,3,3,3,3,5,3,3,4,3,5,4,4,2,1,1,8,8,2,0,1,0,1,8,1,3,1,4,5,16,6,6,5,4,4,4,-0.140488137621743,0.871263232513044
4,4,4,4,4,4,4,3,2,4,4,4,4,4,4,4,3,2,1,2,8,8,2,0,2,0,5,8,1,1,1,5,3,2,4,7,4,2,3,6,-0.140488137621743,0.538032207612498
4,4,4,4,3,3,4,2,3,4,4,4,3,3,4,3,4,2,1,1,3,1,2,0,1,1,5,8,2,1,1,4,3,14,5,4,4,1,1,3,-0.683823890133,0.472701504546702
4,4,5,4,3,3,4,3,3,2,1,4,4,3,2,2,4,3,1,1,3,3,4,1,1,1,9,3,2,3,1,3,5,7,8,8,5,1,3,4,-0.652245732312108,0.179447991521837
5,4,5,5,5,4,3,2,3,5,4,3,4,5,5,5,4,2,1,2,1,8,3,1,1,0,11,8,2,3,1,4,3,9,6,7,6,5,4,5,0.14050272419661,-0.146539156215324
5,5,5,5,5,3,5,2,3,4,4,1,4,5,5,4,4,3,1,1,6,7,3,1,0,1,14,5,2,3,1,3,3,7,5,5,8,7,1,4,0.241054132372064,-0.624066347572589
5,5,5,5,5,4,4,3,3,4,4,2,5,4,4,5,3,1,1,2,8,8,2,0,1,0,1,8,1,3,1,5,4,14,6,6,5,3,4,6,0.637666740782074,0.871263232513044
4,4,4,4,4,4,4,2,2,4,4,3,4,4,4,4,4,3,1,2,1,1,2,0,0,1,8,6,1,3,1,3,4,3,5,6,7,6,3,4,-0.297088611476105,0.2129332196255
4,4,4,4,3,5,2,2,2,2,2,3,2,2,2,2,4,1,1,2,8,3,2,0,0,0,12,8,2,3,1,5,5,7,5,5,7,2,3,3,-0.794731080507926,-0.463892244133779
3,5,5,5,4,5,4,3,3,5,1,4,5,5,5,4,4,3,1,1,8,6,2,0,1,0,7,7,1,3,1,4,4,5,7,6,5,3,5,6,0.145675190540327,0.301479542987245
4,4,4,4,4,2,3,2,3,3,3,3,4,3,3,4,3,2,1,1,2,5,3,1,1,1,8,7,2,3,1,2,3,3,5,6,7,1,1,4,-0.297088611476105,0.273687862489331
4,4,5,4,5,4,4,3,2,3,4,4,5,4,4,4,4,2,1,1,8,6,2,0,0,0,14,8,2,3,1,4,5,8,5,5,5,2,4,5,0.120118371760654,-0.843756252641169
